actor_id,country_emissions,country_targets,country_population,country_gdp,country_territory,subnational_count,subnational_emissions,subnational_targets,subnational_population,subnational_gdp,subnational_territory,city_count,city_emissions,city_targets,city_population,city_gdp,city_territory
BG,1,1,1,1,1,28,0,0,23,0,28,,,,,,
AF,1,0,1,1,1,34,0,0,25,0,33,,,,,,
AL,1,1,1,1,1,12,0,0,4,0,12,,,,,,
DZ,1,1,1,1,1,48,0,0,32,0,48,,,,,,
AS,0,0,1,0,1,0,0,0,0,0,0,,,,,,
AD,1,1,1,1,1,7,0,0,5,0,7,,,,,,
AO,1,1,1,1,1,18,0,0,10,0,18,,,,,,
AI,1,0,1,0,0,0,0,0,0,0,0,,,,,,
AQ,1,0,0,0,0,0,0,0,0,0,0,,,,,,
AG,1,0,1,1,1,8,0,0,1,0,8,,,,,,
AR,1,1,1,1,1,24,0,0,18,0,24,,,,,,
AM,1,1,1,1,1,11,0,0,11,0,11,,,,,,
SZ,1,1,1,1,1,4,0,0,0,0,4,,,,,,
ET,1,1,1,1,1,12,0,0,10,0,11,,,,,,
FJ,1,1,1,1,1,5,0,0,0,0,2,,,,,,
GH,1,1,1,1,1,16,0,0,10,0,9,,,,,,
GI,0,0,1,0,1,0,0,0,0,0,0,,,,,,
GR,1,1,1,1,1,14,1,0,11,0,14,,,,,,
GL,0,0,1,0,1,5,0,0,3,0,5,,,,,,
GD,1,1,1,1,1,7,0,0,0,0,6,,,,,,
GP,0,0,1,0,0,0,0,0,0,0,0,,,,,,
GU,0,0,1,0,1,0,0,0,0,0,0,,,,,,
GT,1,1,1,1,1,22,0,0,22,0,22,,,,,,
GG,0,0,1,0,0,0,0,0,0,0,0,,,,,,
NR,1,0,1,1,1,14,0,0,0,0,14,,,,,,
BF,1,1,1,1,1,13,0,0,5,0,13,,,,,,
BI,1,1,1,1,1,18,0,0,17,0,18,,,,,,
CV,1,1,1,1,1,2,0,0,0,0,0,,,,,,
KH,1,1,1,1,1,25,0,0,22,0,25,,,,,,
CM,1,1,1,1,1,10,0,0,10,0,10,,,,,,
CA,1,1,1,1,1,13,13,9,13,0,13,,,,,,
TW,1,0,1,1,0,22,0,0,22,0,22,,,,,,
CL,1,1,1,1,1,16,0,0,16,0,15,,,,,,
CN,1,1,1,1,1,34,0,0,33,0,34,,,,,,
CX,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CO,1,1,1,1,1,33,0,1,33,0,33,,,,,,
CR,1,1,1,1,1,7,0,0,7,0,7,,,,,,
HR,1,1,1,1,1,21,0,0,2,0,21,,,,,,
CU,1,0,1,0,1,16,0,0,7,0,15,,,,,,
CW,0,0,1,0,1,0,0,0,0,0,0,,,,,,
PN,0,0,0,0,0,0,0,0,0,0,0,,,,,,
PL,1,1,1,1,1,16,0,0,9,0,16,,,,,,
PT,1,1,1,1,1,20,1,2,17,0,9,,,,,,
PR,0,0,1,1,1,0,0,0,0,0,0,,,,,,
QA,1,1,1,1,1,8,0,0,1,0,8,,,,,,
RO,1,1,1,1,1,42,0,0,1,0,42,,,,,,
RW,1,1,1,1,1,5,0,0,5,0,5,,,,,,
RE,0,0,1,0,0,0,0,0,0,0,0,,,,,,
BL,0,0,1,0,0,0,0,0,0,0,0,,,,,,
SH,1,0,1,0,0,3,0,0,2,0,3,,,,,,
KN,1,1,1,1,1,2,0,0,0,0,2,,,,,,
LC,1,0,1,1,1,10,0,0,0,0,1,,,,,,
PM,0,0,1,0,0,0,0,0,0,0,0,,,,,,
VC,1,1,1,1,1,6,0,0,0,0,6,,,,,,
WS,1,1,1,1,1,11,0,0,0,0,1,,,,,,
SM,1,1,1,1,1,9,0,0,1,0,9,,,,,,
ST,1,1,1,1,1,7,0,0,0,0,7,,,,,,
SA,1,1,1,1,1,13,0,0,7,0,13,,,,,,
SN,1,1,1,1,1,14,0,0,12,0,14,,,,,,
RS,1,1,1,1,1,20,0,0,1,0,20,,,,,,
SC,1,1,1,1,1,27,0,0,2,0,16,,,,,,
SL,1,0,1,1,1,5,0,0,3,0,3,,,,,,
XK,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BS,1,1,1,1,1,32,0,0,0,0,13,,,,,,
CD,1,1,1,1,1,26,0,0,0,0,25,,,,,,
CG,1,1,1,1,1,12,0,0,0,0,11,,,,,,
CK,1,0,1,0,0,0,0,0,0,0,0,,,,,,
DO,1,1,1,1,1,10,0,0,0,0,0,,,,,,
FK,0,0,1,0,0,0,0,0,0,0,0,,,,,,
FO,0,0,1,0,1,0,0,0,0,0,0,,,,,,
TF,0,0,0,0,0,0,0,0,0,0,0,,,,,,
GM,1,1,1,1,1,6,0,0,0,0,5,,,,,,
VA,1,0,0,0,0,0,0,0,0,0,0,,,,,,
IR,1,1,1,1,1,31,0,0,0,0,31,,,,,,
KP,1,1,1,0,1,12,0,0,0,0,12,,,,,,
KR,1,1,1,1,1,17,1,0,17,0,17,,,,,,
LA,1,1,1,1,1,18,0,0,16,0,18,,,,,,
MH,1,1,1,1,1,2,0,0,0,0,2,,,,,,
FM,1,1,1,1,1,4,0,0,0,0,4,,,,,,
MD,1,1,1,1,1,37,0,0,26,0,34,,,,,,
