actor_id,area,datasource_id
IT SIZ,20,OEF:WD:city-area:20221105
IT SCA,50,OEF:WD:city-area:20221105
IT TOO,67,OEF:WD:city-area:20221105
IT VQT,53,OEF:WD:city-area:20221105
IT VSC,38,OEF:WD:city-area:20221105
IT VVN,45,OEF:WD:city-area:20221105
IT PHU,27,OEF:WD:city-area:20221105
IT ZQD,6,OEF:WD:city-area:20221105
IT PTE,8,OEF:WD:city-area:20221105
IT PSO,23,OEF:WD:city-area:20221105
IT PAR,6,OEF:WD:city-area:20221105
IT PAO,13,OEF:WD:city-area:20221105
IT PEA,12,OEF:WD:city-area:20221105
IT PCT,21,OEF:WD:city-area:20221105
IT PNM,11,OEF:WD:city-area:20221105
IT ZQJ,49,OEF:WD:city-area:20221105
IT PPG,9,OEF:WD:city-area:20221105
IT PPN,15,OEF:WD:city-area:20221105
IT PZW,13,OEF:WD:city-area:20221105
IT PT2,100,OEF:WD:city-area:20221105
IT PEO,29,OEF:WD:city-area:20221105
IT OTG,11,OEF:WD:city-area:20221105
IT PZZ,21,OEF:WD:city-area:20221105
IT EGL,11,OEF:WD:city-area:20221105
IT PVA,10,OEF:WD:city-area:20221105
IT PVS,16,OEF:WD:city-area:20221105
IT PUE,11,OEF:WD:city-area:20221105
IT QNZ,21,OEF:WD:city-area:20221105
IT RMD,21,OEF:WD:city-area:20221105
IT RZZ,18,OEF:WD:city-area:20221105
IT ZRT,19,OEF:WD:city-area:20221105
IT ROA,13,OEF:WD:city-area:20221105
IT RDE,9,OEF:WD:city-area:20221105
IT ROQ,26,OEF:WD:city-area:20221105
IT RVC,6,OEF:WD:city-area:20221105
IT RUD,10,OEF:WD:city-area:20221105
IT SBH,18,OEF:WD:city-area:20221105
IT ZTN,17,OEF:WD:city-area:20221105
IT SLO,30,OEF:WD:city-area:20221105
IT SIT,15,OEF:WD:city-area:20221105
IT GBC,10,OEF:WD:city-area:20221105
IT SPX,19,OEF:WD:city-area:20221105
IT SZN,6,OEF:WD:city-area:20221105
IT EZO,18,OEF:WD:city-area:20221105
IT SLE,14,OEF:WD:city-area:20221105
IT ZHW,14,OEF:WD:city-area:20221105
IT BIM,18,OEF:WD:city-area:20221105
IT CCL,6,OEF:WD:city-area:20221105
IT COO,47,OEF:WD:city-area:20221105
IT ZJW,19,OEF:WD:city-area:20221105
IT MIS,22,OEF:WD:city-area:20221105
IT MO7,20,OEF:WD:city-area:20221105
