actor_id,lat,lng,datasource_id
SE UME,638258,202630,CDPCitiesTargets:2021
DE BER,525200,134050,CDPCitiesTargets:2021
ES BCN,413823,21775,CDPCitiesTargets:2021
MX MEX,194326,-991332,CDPCitiesTargets:2021
GB CDF,514816,-31791,CDPCitiesTargets:2021
IS REY,641265,-218174,CDPCitiesTargets:2021
SE MMA,556050,130038,CDPCitiesTargets:2021
KR SUO,371700,1268050,CDPCitiesTargets:2021
NL NIJ,518449,58428,CDPCitiesTargets:2021
CR BLN,100035,-841503,CDPCitiesTargets:2021
AU MEL,-378141,1449630,CDPCitiesTargets:2021
ZA CPT,-339253,184239,CDPCitiesTargets:2021
DK HVV,556425,124754,CDPCitiesTargets:2021
IN KOC,99312,762673,CDPCitiesTargets:2021
IT GOA,443480,93184,CDPCitiesTargets:2021
IT GOA,443480,93184,CDPCitiesTargets:2021
AU ADL,-349285,1386010,CDPCitiesTargets:2021
MX MID,209674,-895926,CDPCitiesTargets:2021
GB BOH,507192,-18808,CDPCitiesTargets:2021
TW TNN,229999,1202270,CDPCitiesTargets:2021
CI ABJ,53600,-40083,CDPCitiesTargets:2021
ZA PRY,-257461,281881,CDPCitiesTargets:2021
PE LIM,-120433,-770283,CDPCitiesTargets:2021
BG SOF,426977,233219,CDPCitiesTargets:2021
MA CAS,335206,-75681,CDPCitiesTargets:2021
SE UME,638258,202630,CDPCitiesTargets:2021
NL NIJ,518449,58428,CDPCitiesTargets:2021
ES BCN,413823,21775,CDPCitiesTargets:2021
DE RSK,540887,121405,CDPCitiesTargets:2021
BR SME,-228219,-472669,CDPCitiesTargets:2021
BR REC,-80578,-348829,CDPCitiesTargets:2021
NL RTM,519164,44509,CDPCitiesTargets:2021
NL AMS,523702,48952,CDPCitiesTargets:2021
CO CTG,104218,-755501,CDPCitiesTargets:2021
AR MDZ,-328894,-688458,CDPCitiesTargets:2021
TN L8T,368725,103218,CDPCitiesTargets:2021
CI COD,53602,-39674,CDPCitiesTargets:2021
CI ABJ,53600,-40083,CDPCitiesTargets:2021
MG TNR,-188792,475079,CDPCitiesTargets:2021
PT TVE,387637,-93015,CDPCitiesTargets:2021
DK RKE,556419,120878,CDPCitiesTargets:2021
CR SJO,-840796,99326,CDPCitiesTargets:2021
GE TBS,417151,448271,CDPCitiesTargets:2021
ES BCN,413823,21775,CDPCitiesTargets:2021
BR CPS,-227440,-469372,CDPCitiesTargets:2021
JO AMM,319454,359284,CDPCitiesTargets:2021
DK HLS,560308,125921,CDPCitiesTargets:2021
TZ DAR,-67924,392083,CDPCitiesTargets:2021
PE SDR,-120977,-770273,CDPCitiesTargets:2021
