emissions_id,sector_id,emissions_value
EDGARv7.0:ghg:AG:1978,EDGARv7.0:sector:Power Industry,232827
EDGARv7.0:ghg:AG:1979,EDGARv7.0:sector:Power Industry,202465
EDGARv7.0:ghg:AG:1980,EDGARv7.0:sector:Power Industry,202434
EDGARv7.0:ghg:AG:1981,EDGARv7.0:sector:Power Industry,172990
EDGARv7.0:ghg:AG:1982,EDGARv7.0:sector:Power Industry,224146
EDGARv7.0:ghg:AG:1983,EDGARv7.0:sector:Power Industry,132780
EDGARv7.0:ghg:AG:1984,EDGARv7.0:sector:Power Industry,165511
EDGARv7.0:ghg:AG:1985,EDGARv7.0:sector:Power Industry,169563
EDGARv7.0:ghg:AG:1986,EDGARv7.0:sector:Power Industry,167782
EDGARv7.0:ghg:AG:1987,EDGARv7.0:sector:Power Industry,208449
EDGARv7.0:ghg:AG:1988,EDGARv7.0:sector:Power Industry,207772
EDGARv7.0:ghg:AG:1989,EDGARv7.0:sector:Power Industry,165006
EDGARv7.0:ghg:AG:1990,EDGARv7.0:sector:Power Industry,173206
EDGARv7.0:ghg:AG:1991,EDGARv7.0:sector:Power Industry,198100
EDGARv7.0:ghg:AG:1992,EDGARv7.0:sector:Power Industry,214834
EDGARv7.0:ghg:AG:1993,EDGARv7.0:sector:Power Industry,174003
EDGARv7.0:ghg:AG:1994,EDGARv7.0:sector:Power Industry,185130
EDGARv7.0:ghg:AG:1995,EDGARv7.0:sector:Power Industry,216576
EDGARv7.0:ghg:AG:1996,EDGARv7.0:sector:Power Industry,217103
EDGARv7.0:ghg:AG:1997,EDGARv7.0:sector:Power Industry,203178
EDGARv7.0:ghg:AG:1998,EDGARv7.0:sector:Power Industry,221900
EDGARv7.0:ghg:AG:1999,EDGARv7.0:sector:Power Industry,198800
EDGARv7.0:ghg:AG:2000,EDGARv7.0:sector:Power Industry,227451
EDGARv7.0:ghg:AG:2001,EDGARv7.0:sector:Power Industry,228200
EDGARv7.0:ghg:AG:2002,EDGARv7.0:sector:Power Industry,276120
EDGARv7.0:ghg:AG:2003,EDGARv7.0:sector:Power Industry,426652
EDGARv7.0:ghg:AG:2004,EDGARv7.0:sector:Power Industry,429855
EDGARv7.0:ghg:AG:2005,EDGARv7.0:sector:Power Industry,433713
EDGARv7.0:ghg:AG:2006,EDGARv7.0:sector:Power Industry,451551
EDGARv7.0:ghg:AG:2007,EDGARv7.0:sector:Power Industry,465541
EDGARv7.0:ghg:AG:2008,EDGARv7.0:sector:Power Industry,477285
EDGARv7.0:ghg:AG:2009,EDGARv7.0:sector:Power Industry,514130
EDGARv7.0:ghg:AG:2010,EDGARv7.0:sector:Power Industry,554832
EDGARv7.0:ghg:AG:2011,EDGARv7.0:sector:Power Industry,614272
EDGARv7.0:ghg:AG:2012,EDGARv7.0:sector:Power Industry,627776
EDGARv7.0:ghg:AG:2013,EDGARv7.0:sector:Power Industry,600348
EDGARv7.0:ghg:AG:2014,EDGARv7.0:sector:Power Industry,626920
EDGARv7.0:ghg:AG:2015,EDGARv7.0:sector:Power Industry,622985
EDGARv7.0:ghg:AG:2016,EDGARv7.0:sector:Power Industry,634700
EDGARv7.0:ghg:AG:2017,EDGARv7.0:sector:Power Industry,378537
EDGARv7.0:ghg:AG:2018,EDGARv7.0:sector:Power Industry,397414
EDGARv7.0:ghg:AG:2019,EDGARv7.0:sector:Power Industry,393904
EDGARv7.0:ghg:AG:2020,EDGARv7.0:sector:Power Industry,325087
EDGARv7.0:ghg:AG:2021,EDGARv7.0:sector:Power Industry,362184
EDGARv7.0:ghg:AR:1970,EDGARv7.0:sector:Power Industry,19329265
EDGARv7.0:ghg:AR:1971,EDGARv7.0:sector:Power Industry,19329265
EDGARv7.0:ghg:AR:1972,EDGARv7.0:sector:Power Industry,21169790
EDGARv7.0:ghg:AR:1973,EDGARv7.0:sector:Power Industry,19816297
EDGARv7.0:ghg:AR:1974,EDGARv7.0:sector:Power Industry,18855169
EDGARv7.0:ghg:AR:1975,EDGARv7.0:sector:Power Industry,18461920
EDGARv7.0:ghg:AR:1976,EDGARv7.0:sector:Power Industry,19066345
EDGARv7.0:ghg:AR:1977,EDGARv7.0:sector:Power Industry,21601189
EDGARv7.0:ghg:AR:1978,EDGARv7.0:sector:Power Industry,18669848
EDGARv7.0:ghg:AR:1979,EDGARv7.0:sector:Power Industry,20873638
EDGARv7.0:ghg:AR:1980,EDGARv7.0:sector:Power Industry,18738966
EDGARv7.0:ghg:AR:1981,EDGARv7.0:sector:Power Industry,17269503
EDGARv7.0:ghg:AR:1982,EDGARv7.0:sector:Power Industry,15739368
EDGARv7.0:ghg:AR:1983,EDGARv7.0:sector:Power Industry,17236198
EDGARv7.0:ghg:AR:1984,EDGARv7.0:sector:Power Industry,15801991
EDGARv7.0:ghg:AR:1985,EDGARv7.0:sector:Power Industry,14246500
EDGARv7.0:ghg:AR:1986,EDGARv7.0:sector:Power Industry,17756692
EDGARv7.0:ghg:AR:1987,EDGARv7.0:sector:Power Industry,18892924
EDGARv7.0:ghg:AR:1988,EDGARv7.0:sector:Power Industry,25253003
EDGARv7.0:ghg:AR:1989,EDGARv7.0:sector:Power Industry,24895052
EDGARv7.0:ghg:AR:1990,EDGARv7.0:sector:Power Industry,18845525
EDGARv7.0:ghg:AR:1991,EDGARv7.0:sector:Power Industry,20925903
EDGARv7.0:ghg:AR:1992,EDGARv7.0:sector:Power Industry,19636841
EDGARv7.0:ghg:AR:1993,EDGARv7.0:sector:Power Industry,20178484
EDGARv7.0:ghg:AR:1994,EDGARv7.0:sector:Power Industry,20651092
EDGARv7.0:ghg:AR:1995,EDGARv7.0:sector:Power Industry,21202128
EDGARv7.0:ghg:AR:1996,EDGARv7.0:sector:Power Industry,24534578
EDGARv7.0:ghg:AR:1997,EDGARv7.0:sector:Power Industry,22791532
EDGARv7.0:ghg:AR:1998,EDGARv7.0:sector:Power Industry,25430363
EDGARv7.0:ghg:AR:1999,EDGARv7.0:sector:Power Industry,30128670
EDGARv7.0:ghg:AR:2000,EDGARv7.0:sector:Power Industry,29015355
EDGARv7.0:ghg:AR:2001,EDGARv7.0:sector:Power Industry,26350953
EDGARv7.0:ghg:AR:2002,EDGARv7.0:sector:Power Industry,23819424
EDGARv7.0:ghg:AR:2003,EDGARv7.0:sector:Power Industry,27712396
EDGARv7.0:ghg:AR:2004,EDGARv7.0:sector:Power Industry,34444030
EDGARv7.0:ghg:AR:2005,EDGARv7.0:sector:Power Industry,36796793
EDGARv7.0:ghg:AR:2006,EDGARv7.0:sector:Power Industry,39725954
EDGARv7.0:ghg:AR:2007,EDGARv7.0:sector:Power Industry,39127480
EDGARv7.0:ghg:AR:2008,EDGARv7.0:sector:Power Industry,43130206
EDGARv7.0:ghg:AR:2009,EDGARv7.0:sector:Power Industry,40300758
EDGARv7.0:ghg:AR:2010,EDGARv7.0:sector:Power Industry,42953502
EDGARv7.0:ghg:AR:2011,EDGARv7.0:sector:Power Industry,48329727
EDGARv7.0:ghg:AR:2012,EDGARv7.0:sector:Power Industry,50822213
