actor_id,lat,lng,datasource_id
AR CEN,-358333,-614333,UNLOCODE:2023-2
AR CAL,-276333,-554833,UNLOCODE:2023-2
AR CVP,-268500,-651167,UNLOCODE:2023-2
AR CRA,-267833,-652833,UNLOCODE:2023-2
AR CSS,-332333,-613500,UNLOCODE:2023-2
AR CCO,-346333,-604667,UNLOCODE:2023-2
AR CDC,-330000,-688667,UNLOCODE:2023-2
AR CHA,-307667,-579833,UNLOCODE:2023-2
AR CHS,-355667,-580167,UNLOCODE:2023-2
AR CHO,-291667,-675000,UNLOCODE:2023-2
AR CBS,-314833,-685333,UNLOCODE:2023-2
AR CPY,-391667,-661500,UNLOCODE:2023-2
AR CVY,-349000,-600333,UNLOCODE:2023-2
AR CST,-388167,-680667,UNLOCODE:2023-2
AR CPA,-389167,-679833,UNLOCODE:2023-2
AR CYB,-348500,-580500,UNLOCODE:2023-2
AR EVA,-348500,-589000,UNLOCODE:2023-2
AR CIU,-346167,-585333,UNLOCODE:2023-2
AR CLN,-324500,-612833,UNLOCODE:2023-2
AR CZO,-319167,-634000,UNLOCODE:2023-2
AR COO,-338833,-611167,UNLOCODE:2023-2
AR COL,-322167,-581333,UNLOCODE:2023-2
AR CON,-283833,-578833,UNLOCODE:2023-2
AR COS,-279833,-555167,UNLOCODE:2023-2
AR COU,-324833,-582333,UNLOCODE:2023-2
AR CCP,-273333,-655833,UNLOCODE:2023-2
AR CMG,-390167,-677333,UNLOCODE:2023-2
AR IQO,-329667,-687500,UNLOCODE:2023-2
AR COR,-314000,-641833,UNLOCODE:2023-2
AR COA,-319667,-609167,UNLOCODE:2023-2
AR CSZ,-374667,-619167,UNLOCODE:2023-2
AR CDA,-327500,-684167,UNLOCODE:2023-2
AR CEO,-320333,-603167,UNLOCODE:2023-2
AR CAZ,-330000,-618000,UNLOCODE:2023-2
AR CDP,-330333,-688000,UNLOCODE:2023-2
AR CDE,-307333,-648000,UNLOCODE:2023-2
AR CNO,-346167,-682833,UNLOCODE:2023-2
