target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,summary,datasource_id,initiative_id
SBTi:213800PE1KEFCNFR1R50:2022,213800PE1KEFCNFR1R50,Absolute emission reduction,2016,2022,95,percent,Burberry Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800PE1KEFCNFR1R50:2030,213800PE1KEFCNFR1R50,Absolute emission reduction,2016,2030,30,percent,Burberry Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800PE1KEFCNFR1R50:2040,213800PE1KEFCNFR1R50,Net zero,,2040,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800Q6ZKHAOV48JL75:2050,213800Q6ZKHAOV48JL75,Net zero,,2050,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800QAUUUP6I445N30:2030,213800QAUUUP6I445N30,Absolute emission reduction,2019,2030,46,percent,London Stock Exchange Group PLC reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800QRC7LNX935OZ09:2034,213800QRC7LNX935OZ09,Absolute emission reduction,2019,2034,38,percent,Rockwool Group reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800QRC7LNX935OZ09:2034,213800QRC7LNX935OZ09,Absolute emission reduction,2019,2034,20,percent,Rockwool Group reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800QWTXXXF8BNEC87:2050,213800QWTXXXF8BNEC87,Net zero,,2050,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800S5DHQ6VQ38DY65:2030,213800S5DHQ6VQ38DY65,Absolute emission reduction,2017,2030,100,percent,KPMG UK LLP reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800S5DHQ6VQ38DY65:2030,213800S5DHQ6VQ38DY65,Absolute emission reduction,2017,2030,25,percent,KPMG UK LLP reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800S8OBDOZMCMUW34:2050,213800S8OBDOZMCMUW34,Net zero,,2050,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800SLYJ6HYXWP8L95:2030,213800SLYJ6HYXWP8L95,Absolute emission reduction,2018,2030,50,percent,Bonava AB reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800SVRMQA1TD91D41:2030,213800SVRMQA1TD91D41,Absolute emission reduction,2015,2030,70,percent,Givaudan SA reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800SVRMQA1TD91D41:2030,213800SVRMQA1TD91D41,Absolute emission reduction,2015,2030,20,percent,Givaudan SA reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800TB53ELEUKM7Q61:2030,213800TB53ELEUKM7Q61,Absolute emission reduction,2020,2030,95,percent,Vodafone Group Plc reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800TB53ELEUKM7Q61:2030,213800TB53ELEUKM7Q61,Absolute emission reduction,2020,2030,50,percent,Vodafone Group Plc reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800V8IAVKS37D6B88:2030,213800V8IAVKS37D6B88,Absolute emission reduction,2014,2030,70,percent,Landsec reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800VGZAAJIKJ9Y484:2030,213800VGZAAJIKJ9Y484,Absolute emission reduction,2019,2030,50,percent,J Sainsbury plc reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800VGZAAJIKJ9Y484:2030,213800VGZAAJIKJ9Y484,Absolute emission reduction,2019,2030,30,percent,J Sainsbury plc reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800VGZAAJIKJ9Y484:2040,213800VGZAAJIKJ9Y484,Absolute emission reduction,2019,2040,100,percent,J Sainsbury plc reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800XHATUM2LFMKG16:2050,213800XHATUM2LFMKG16,Net zero,,2050,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800Y1339A3PK3MM84:2030,213800Y1339A3PK3MM84,Absolute emission reduction,2019,2030,50,percent,Allen & Overy LLP reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800Y5RWKLDPUTT265:2025,213800Y5RWKLDPUTT265,Absolute emission reduction,2018,2025,35,percent,Barry Callebaut reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800Z8NOHIKRI42W10:2025,213800Z8NOHIKRI42W10,Absolute emission reduction,2018,2025,50,percent,STMicroelectronics NV reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800Z8NOHIKRI42W10:2025,213800Z8NOHIKRI42W10,Renewable electricity,2018,2025,80,percent,STMicroelectronics NV reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800Z8NOHIKRI42W10:2030,213800Z8NOHIKRI42W10,Renewable electricity,2018,2030,100,percent,STMicroelectronics NV reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:213800ZVIELEA55JMJ32:2020,213800ZVIELEA55JMJ32,Absolute emission reduction,2007,2020,50,percent,Diageo Plc reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:254900VUZRGD5U73RE46:2030,254900VUZRGD5U73RE46,Absolute emission reduction,2019,2030,50,percent,Lenovo Group Limited reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:254900WIKYXUR1V97O33:2025,254900WIKYXUR1V97O33,Absolute emission reduction,2019,2025,15,percent,Australian Postal Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2572IBTT8CCZW6AU4141:2030,2572IBTT8CCZW6AU4141,Absolute emission reduction,2010,2030,50,percent,Procter & Gamble Company reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2S72QS2UO2OESLG6Y829:2030,2S72QS2UO2OESLG6Y829,Absolute emission reduction,2019,2030,53,percent,Verizon reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2S72QS2UO2OESLG6Y829:2035,2S72QS2UO2OESLG6Y829,Absolute emission reduction,2019,2035,40,percent,Verizon reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2TGYMUGI08PO8X8L6150:2030,2TGYMUGI08PO8X8L6150,Absolute emission reduction,2020,2030,42,percent,General Mills Inc. reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:2TGYMUGI08PO8X8L6150:2030,2TGYMUGI08PO8X8L6150,Absolute emission reduction,2020,2030,30,percent,General Mills Inc. reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:3358005FZUZ1I25XQH69:2030,3358005FZUZ1I25XQH69,Absolute emission reduction,2016,2030,22,percent,Tech Mahindra reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:3358005FZUZ1I25XQH69:2050,3358005FZUZ1I25XQH69,Absolute emission reduction,2016,2050,50,percent,Tech Mahindra reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:335800BTPM2IQH1E4G86:2031,335800BTPM2IQH1E4G86,Absolute emission reduction,2016,2031,63,percent,Mahindra World City Developers Ltd reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
