actor_id,year,total_emissions,datasource_id,emissions_id
RU-CHE,2017,120799246,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2017
RU-CHE,2018,121101695,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2018
RU-CHE,2019,119338288,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHE:2019
RU-CHU,2005,2407093,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2005
RU-CHU,2006,2415823,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2006
RU-CHU,2007,3466007,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2007
RU-CHU,2008,2585360,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2008
RU-CHU,2009,2035372,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2009
RU-CHU,2010,1884146,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2010
RU-CHU,2011,2529659,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2011
RU-CHU,2012,1468474,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2012
RU-CHU,2013,953746,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2013
RU-CHU,2014,1246589,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2014
RU-CHU,2015,1283476,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2015
RU-CHU,2016,1098307,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2016
RU-CHU,2017,1038902,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2017
RU-CHU,2018,1066576,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2018
RU-CHU,2019,752483,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CHU:2019
RU-CU,2005,4129645,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2005
RU-CU,2006,4369870,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2006
RU-CU,2007,4473445,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2007
RU-CU,2008,4444283,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2008
RU-CU,2009,3925698,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2009
RU-CU,2010,4238412,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2010
RU-CU,2011,4592387,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2011
RU-CU,2012,4676623,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2012
RU-CU,2013,4318282,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2013
RU-CU,2014,4390845,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2014
RU-CU,2015,3910282,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2015
RU-CU,2016,3762776,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2016
RU-CU,2017,3734899,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2017
RU-CU,2018,3633468,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2018
RU-CU,2019,3416269,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-CU:2019
RU-DA,2005,713490,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2005
RU-DA,2006,641669,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2006
RU-DA,2007,545574,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2007
RU-DA,2008,699262,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2008
RU-DA,2009,827836,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2009
RU-DA,2010,541109,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2010
RU-DA,2011,523525,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2011
RU-DA,2012,667159,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2012
RU-DA,2013,625808,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2013
RU-DA,2014,734470,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2014
RU-DA,2015,682107,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2015
RU-DA,2016,657863,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2016
RU-DA,2017,676047,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2017
RU-DA,2018,668673,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2018
RU-DA,2019,1751043,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-DA:2019
RU-IN,2005,96366,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2005
RU-IN,2006,107652,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2006
RU-IN,2007,482692,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2007
RU-IN,2008,83473,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2008
RU-IN,2009,62132,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2009
RU-IN,2010,57371,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2010
RU-IN,2011,83229,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2011
RU-IN,2012,103716,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2012
RU-IN,2013,94800,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2013
RU-IN,2014,90957,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2014
RU-IN,2015,65458,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2015
RU-IN,2016,76937,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2016
RU-IN,2017,70346,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2017
RU-IN,2018,81444,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2018
RU-IN,2019,82393,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IN:2019
RU-IRK,2005,38184109,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2005
RU-IRK,2006,40803406,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2006
RU-IRK,2007,38578326,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2007
RU-IRK,2008,45592237,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2008
RU-IRK,2009,35893025,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2009
RU-IRK,2010,33923777,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2010
RU-IRK,2011,36138836,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2011
RU-IRK,2012,41726882,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2012
RU-IRK,2013,33733023,xiao_etal_2021:RU_constituent:v4,Xiao_et_al_(2021):RU-IRK:2013
