"datasource_id","population","year","actor_id"
"CDPCitiesTargets:2021",292796,2020,"FI ES2"
"CDPCitiesTargets:2021",910608,2020,"MX TLC"
"CDPCitiesTargets:2021",285911,2021,"NO BGO"
"CDPCitiesTargets:2021",265188,2019,"BO TJA"
"CDPCitiesTargets:2021",6041000,2019,"TZ DAR"
"CDPCitiesTargets:2021",39116,2021,"DK MID"
"CDPCitiesTargets:2021",3769000,2020,"DE BER"
"CDPCitiesTargets:2021",39116,2021,"DK MID"
"CDPCitiesTargets:2021",44999,2019,"NO ARE"
"CDPCitiesTargets:2021",156852,2021,"PT GUI"
"CDPCitiesTargets:2021",936263,2020,"MX HMO"
"CDPCitiesTargets:2021",277417,2018,"GB SUN"
"CDPCitiesTargets:2021",1664182,2020,"ES BCN"
"CDPCitiesTargets:2021",127119,2018,"SE UME"
"CDPCitiesTargets:2021",3769000,2020,"DE BER"
"CDPCitiesTargets:2021",1664182,2020,"ES BCN"
"CDPCitiesTargets:2021",1240730,2020,"VN VCA"
"CDPCitiesTargets:2021",286178,2021,"KR CHC"
"CDPCitiesTargets:2021",9041395,2018,"MX MEX"
"CDPCitiesTargets:2021",368000,2020,"GB CDF"
"CDPCitiesTargets:2021",133262,2021,"IS REY"
"CDPCitiesTargets:2021",347949,2020,"SE MMA"
"CDPCitiesTargets:2021",365278,2020,"BR CAU"
"CDPCitiesTargets:2021",1221095,2020,"KR SUO"
"CDPCitiesTargets:2021",179000,2019,"NL NIJ"
"CDPCitiesTargets:2021",24000,2017,"CR BLN"
"CDPCitiesTargets:2021",183756,2020,"AU MEL"
"CDPCitiesTargets:2021",147892,2019,"LT KLJ"
"CDPCitiesTargets:2021",4423834,2018,"ZA CPT"
"CDPCitiesTargets:2021",53282,2018,"DK HVV"
"CDPCitiesTargets:2021",601574,2011,"IN KOC"
"CDPCitiesTargets:2021",558930,2020,"IT GOA"
"CDPCitiesTargets:2021",558930,2020,"IT GOA"
"CDPCitiesTargets:2021",2101157,2020,"TR GZT"
"CDPCitiesTargets:2021",29889,2020,"AU ADL"
"CDPCitiesTargets:2021",921771,2020,"MX MID"
"CDPCitiesTargets:2021",86217,2020,"SE KID"
"CDPCitiesTargets:2021",395780,2021,"GB BOH"
"CDPCitiesTargets:2021",67563,2017,"IT QCS"
"CDPCitiesTargets:2021",1874917,2020,"TW TNN"
"CDPCitiesTargets:2021",5052000,2016,"CI ABJ"
"CDPCitiesTargets:2021",3306198,2017,"ZA PRY"
"CDPCitiesTargets:2021",8574974,2017,"PE LIM"
"CDPCitiesTargets:2021",1328120,2018,"BG SOF"
"CDPCitiesTargets:2021",67563,2017,"IT QCS"
"CDPCitiesTargets:2021",3360000,2014,"MA CAS"
"CDPCitiesTargets:2021",112887,2010,"AR BRC"
"CDPCitiesTargets:2021",552858,2020,"GB MNC"
"CDPCitiesTargets:2021",127119,2018,"SE UME"
"CDPCitiesTargets:2021",149280,2020,"SE HEL"
"CDPCitiesTargets:2021",81522,2016,"AR VNT"
"CDPCitiesTargets:2021",508519,2021,"JP MYJ"
"CDPCitiesTargets:2021",2101157,2020,"TR GZT"
"CDPCitiesTargets:2021",179000,2019,"NL NIJ"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",1664182,2020,"ES BCN"
"CDPCitiesTargets:2021",277417,2018,"GB SUN"
"CDPCitiesTargets:2021",140597,2020,"TW KNH"
"CDPCitiesTargets:2021",209755,2020,"DE RSK"
"CDPCitiesTargets:2021",166080,2017,"CL ZAL"
"CDPCitiesTargets:2021",286211,2020,"BR SME"
"CDPCitiesTargets:2021",6207299,2021,"IN STV"
"CDPCitiesTargets:2021",570024,2021,"JP ITB"
"CDPCitiesTargets:2021",1653461,2020,"BR REC"
"CDPCitiesTargets:2021",644618,2019,"NL RTM"
"CDPCitiesTargets:2021",872497,2021,"NL AMS"
"CDPCitiesTargets:2021",973045,2018,"CO CTG"
"CDPCitiesTargets:2021",1895486,2020,"ID TRG"
"CDPCitiesTargets:2021",332500,2020,"GB WAN"
"CDPCitiesTargets:2021",115041,2010,"AR MDZ"
"CDPCitiesTargets:2021",552858,2020,"GB MNC"
"CDPCitiesTargets:2021",98500,2019,"TN L8T"
"CDPCitiesTargets:2021",1000000,2021,"CI COD"
"CDPCitiesTargets:2021",5052000,2016,"CI ABJ"
"CDPCitiesTargets:2021",349648,2018,"AR CNQ"
"CDPCitiesTargets:2021",1,2018,"MG TNR"
"CDPCitiesTargets:2021",78530,2019,"PT TVE"
"CDPCitiesTargets:2021",87542,2019,"DK RKE"
"CDPCitiesTargets:2021",26861,2011,"CR QPS"
"CDPCitiesTargets:2021",418686,2015,"JP TOY"
"CDPCitiesTargets:2021",37078,2018,"AR CPC"
"CDPCitiesTargets:2021",347398,2020,"CR SJO"
"CDPCitiesTargets:2021",946338,2020,"JP KKJ"
"CDPCitiesTargets:2021",1202731,2021,"GE TBS"
"CDPCitiesTargets:2021",14736,2021,"JP HKY"
"CDPCitiesTargets:2021",1664182,2020,"ES BCN"
"CDPCitiesTargets:2021",220357,2017,"CL TLX"
"CDPCitiesTargets:2021",1175501,2020,"BR CPS"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",583056,2020,"SE GOT"
"CDPCitiesTargets:2021",3800000,2018,"JO AMM"
"CDPCitiesTargets:2021",62709,2019,"DK HLS"
"CDPCitiesTargets:2021",98795,2021,"JP IDA"
"CDPCitiesTargets:2021",346325,2020,"ID SUK"
"CDPCitiesTargets:2021",6041000,2019,"TZ DAR"
"CDPCitiesTargets:2021",65333,2017,"PE SDR"
"CDPCitiesTargets:2021",300000,2021,"CR DE2"
"CDPCitiesTargets:2021",142000,2018,"CL PRO"
"CDPCitiesTargets:2021",505585,2010,"EC CUE"
