actor_id,identifier,datasource_id,namespace
ECCC_G10918:N4BHALMXL3GMZKCUON55,ECCC_G10918:N4BHALMXL3GMZKCUON55,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10923:N4BHALMXL3GMZKCUON55,ECCC_G10923:N4BHALMXL3GMZKCUON55,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10080:5493002HWKHG11IPOG10,ECCC_G10080:5493002HWKHG11IPOG10,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10234:5493009UL1CFLQ2GMZ46,ECCC_G10234:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10243:5493009UL1CFLQ2GMZ46,ECCC_G10243:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10394:5493009UL1CFLQ2GMZ46,ECCC_G10394:5493009UL1CFLQ2GMZ46,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10168:549300I1AHR8KMMFIS52,ECCC_G10168:549300I1AHR8KMMFIS52,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10199:549300MO45LTBPAU4Z27,ECCC_G10199:549300MO45LTBPAU4Z27,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10250:549300MO45LTBPAU4Z27,ECCC_G10250:549300MO45LTBPAU4Z27,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10251:549300MO45LTBPAU4Z27,ECCC_G10251:549300MO45LTBPAU4Z27,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10255:549300MO45LTBPAU4Z27,ECCC_G10255:549300MO45LTBPAU4Z27,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10209:529900L1EHUYOIRVR143,ECCC_G10209:529900L1EHUYOIRVR143,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10278:549300MO45LTBPAU4Z27,ECCC_G10278:549300MO45LTBPAU4Z27,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10361:ZRPT83FLC26QOUQ8DT58,ECCC_G10361:ZRPT83FLC26QOUQ8DT58,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G11251:5493007F4QFHW2NTYS81,ECCC_G11251:5493007F4QFHW2NTYS81,ECCC_GHGRP:2022-04-14,LOCODE_LEI
ECCC_G10084:549300MO45LTBPAU4Z27,ECCC_G10084:549300MO45LTBPAU4Z27,ECCC_GHGRP:2022-04-14,LOCODE_LEI
