year,total_emissions,actor_id,emissions_id,datasource_id
2011,488070,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782011,ECCC_GHGRP:2022-04-14
2010,455171,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782010,ECCC_GHGRP:2022-04-14
2009,409954,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782009,ECCC_GHGRP:2022-04-14
2008,403494,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782008,ECCC_GHGRP:2022-04-14
2007,373839,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782007,ECCC_GHGRP:2022-04-14
2006,274089,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782006,ECCC_GHGRP:2022-04-14
2005,201093,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782005,ECCC_GHGRP:2022-04-14
2004,525488,ECCC_G10161:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G10161:54930037NB6NXS8EKP782004,ECCC_GHGRP:2022-04-14
2020,15884,ECCC_G11808:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11808:54930037NB6NXS8EKP782020,ECCC_GHGRP:2022-04-14
2020,23970,ECCC_G11809:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11809:54930037NB6NXS8EKP782020,ECCC_GHGRP:2022-04-14
2020,34717,ECCC_G12336:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12336:54930037NB6NXS8EKP782020,ECCC_GHGRP:2022-04-14
2019,16917,ECCC_G11808:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11808:54930037NB6NXS8EKP782019,ECCC_GHGRP:2022-04-14
2019,24504,ECCC_G11809:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11809:54930037NB6NXS8EKP782019,ECCC_GHGRP:2022-04-14
2019,36315,ECCC_G12336:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12336:54930037NB6NXS8EKP782019,ECCC_GHGRP:2022-04-14
2018,15049,ECCC_G11808:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11808:54930037NB6NXS8EKP782018,ECCC_GHGRP:2022-04-14
2018,27310,ECCC_G11809:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11809:54930037NB6NXS8EKP782018,ECCC_GHGRP:2022-04-14
2018,37986,ECCC_G12336:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12336:54930037NB6NXS8EKP782018,ECCC_GHGRP:2022-04-14
2017,39735,ECCC_G12336:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12336:54930037NB6NXS8EKP782017,ECCC_GHGRP:2022-04-14
2017,16700,ECCC_G11809:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11809:54930037NB6NXS8EKP782017,ECCC_GHGRP:2022-04-14
2017,14858,ECCC_G11808:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G11808:54930037NB6NXS8EKP782017,ECCC_GHGRP:2022-04-14
2020,171679,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12309:54930037NB6NXS8EKP782020,ECCC_GHGRP:2022-04-14
2019,191306,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12309:54930037NB6NXS8EKP782019,ECCC_GHGRP:2022-04-14
2018,203165,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12309:54930037NB6NXS8EKP782018,ECCC_GHGRP:2022-04-14
2017,213907,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12309:54930037NB6NXS8EKP782017,ECCC_GHGRP:2022-04-14
2016,222605,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12309:54930037NB6NXS8EKP782016,ECCC_GHGRP:2022-04-14
2015,229228,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12309:54930037NB6NXS8EKP782015,ECCC_GHGRP:2022-04-14
2014,175825,ECCC_G12309:54930037NB6NXS8EKP78,ECCC_GHGRP:ECCC_G12309:54930037NB6NXS8EKP782014,ECCC_GHGRP:2022-04-14
2020,175021,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392020,ECCC_GHGRP:2022-04-14
2019,164273,ECCC_G10033:5299000S9E1C0NBZXD39,ECCC_GHGRP:ECCC_G10033:5299000S9E1C0NBZXD392019,ECCC_GHGRP:2022-04-14
