Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Qatar,MtCO2e,15.38,18.43,18.02,20.81,23.30,24.01,26.48,33.13,34.45,37.40,38.00,37.54,41.40,44.95,48.26,49.70,55.81,63.23,67.81,69.56,78.53,88.22,96.61,98.53,103.59,106.79,109.37,110.06,109.18,114.76
Chile,MtCO2e,45.26,44.22,45.72,48.27,52.27,56.17,62.72,69.82,70.92,73.78,69.92,67.80,68.41,69.16,74.54,75.13,76.42,84.15,88.88,86.49,91.66,98.10,100.54,103.82,96.45,102.13,106.59,107.51,107.69,113.02
Belgium,MtCO2e,130.77,135.69,133.73,131.54,136.89,137.06,142.41,139.23,141.99,138.14,138.25,138.68,131.36,134.75,133.30,129.55,126.55,121.89,124.14,117.17,124.74,113.13,111.91,112.89,106.51,111.43,110.38,108.31,109.06,108.06
Sudan,MtCO2e,49.39,50.23,53.84,55.76,60.41,61.39,63.87,67.11,70.28,73.12,77.89,74.15,79.28,81.15,84.14,88.66,88.80,93.67,93.91,95.84,93.91,97.13,98.24,98.44,99.53,102.87,106.12,105.51,106.25,106.06
Romania,MtCO2e,224.03,185.69,166.01,155.22,151.11,156.67,160.31,148.73,132.72,116.91,120.91,125.88,122.95,127.88,126.24,125.66,129.23,126.88,124.87,109.08,106.23,110.82,108.53,99.25,98.57,100.85,99.34,102.12,102.79,101.24
Peru,MtCO2e,44.28,43.17,43.84,44.91,47.28,52.19,55.92,56.85,57.64,61.87,62.64,60.71,62.57,62.38,66.47,67.71,67.48,71.35,76.42,80.57,85.08,89.53,89.72,91.68,95.44,97.15,100.07,97.64,97.89,100.73
Oman,MtCO2e,19.44,23.55,23.33,24.71,26.60,29.92,30.82,32.08,31.32,34.25,38.55,42.41,44.19,46.15,45.46,45.58,54.05,57.00,56.60,59.53,63.88,71.30,79.52,83.47,87.04,91.48,94.73,94.39,99.52,100.26
Morocco,MtCO2e,36.80,38.13,39.22,38.91,42.03,42.72,43.38,45.30,46.20,48.37,49.45,53.00,54.52,54.50,59.11,62.12,64.08,64.84,67.33,67.35,70.78,75.75,77.55,78.04,79.24,81.46,80.26,84.99,86.81,93.08
Cameroon,MtCO2e,19.52,27.65,27.44,25.14,78.46,78.48,79.22,79.86,81.37,81.39,83.52,82.54,82.31,83.82,82.14,83.54,82.39,83.13,83.04,83.32,83.65,83.35,83.79,85.42,86.55,87.95,89.08,88.96,89.92,90.12
Israel,MtCO2e,44.11,45.18,47.98,52.05,55.39,59.24,62.36,65.39,66.75,68.96,73.85,73.69,75.66,76.48,77.58,76.23,80.51,83.67,84.35,83.82,89.29,89.08,95.59,87.13,85.29,87.23,86.95,88.47,84.77,87.18
Belarus,MtCO2e,137.86,132.81,119.06,106.27,93.10,84.96,85.74,86.10,84.03,81.52,78.90,77.61,77.03,78.21,82.20,83.07,86.30,85.09,89.34,86.41,91.03,88.10,89.63,90.11,89.29,84.74,83.89,85.38,88.21,86.83
Tanzania,MtCO2e,39.83,40.11,40.23,40.85,41.59,45.76,43.92,43.54,47.08,48.11,46.10,47.50,52.04,56.58,56.69,60.00,57.65,60.06,62.15,62.78,66.51,70.00,73.47,77.09,78.03,81.71,81.45,80.55,81.79,84.00
New Zealand,MtCO2e,71.13,70.79,71.62,70.81,72.30,73.54,73.90,76.40,74.76,77.01,77.20,79.88,81.53,84.02,82.68,84.15,84.33,83.21,83.06,80.25,80.06,79.62,82.18,81.80,82.33,82.19,80.81,82.44,81.81,83.20
Chad,MtCO2e,15.41,21.83,22.70,23.70,24.67,25.71,28.70,29.30,30.13,32.14,34.77,33.11,37.19,36.48,40.09,42.29,43.39,45.52,46.93,48.15,51.48,53.99,57.47,60.09,62.76,68.12,72.23,74.24,78.83,81.65
Kenya,MtCO2e,34.98,33.71,33.68,33.45,33.68,34.01,33.33,33.03,34.26,36.21,35.04,34.46,35.36,36.30,38.93,39.30,39.52,56.07,57.15,57.35,58.74,60.65,59.56,61.10,63.70,65.91,71.64,68.19,68.70,81.01
Angola,MtCO2e,43.15,43.58,44.29,47.27,50.16,53.32,54.67,55.46,59.69,58.64,57.64,57.75,60.21,65.72,67.43,66.96,65.86,70.20,72.68,73.80,77.73,79.15,77.40,81.09,82.39,87.36,85.91,81.01,75.24,79.68
North Korea,MtCO2e,154.69,147.42,133.50,124.28,115.05,107.55,95.83,87.63,79.52,83.69,87.21,90.30,87.42,89.26,91.10,94.69,96.88,84.25,92.34,75.57,72.65,58.33,60.06,49.24,53.03,46.87,52.06,77.15,73.47,79.34
Greece,MtCO2e,95.22,95.29,97.36,97.72,100.35,104.77,105.85,106.92,110.93,112.04,117.81,118.39,118.77,122.11,121.75,123.84,122.18,125.64,121.74,114.96,108.25,105.91,100.93,93.27,90.19,88.45,87.16,86.77,84.06,78.50
Austria,MtCO2e,76.61,80.89,75.07,75.00,75.07,77.55,81.33,80.28,80.28,78.47,78.65,83.00,84.33,89.45,90.27,90.35,88.10,85.06,84.62,77.71,83.51,81.53,78.33,78.87,75.15,76.34,76.73,78.65,75.44,76.92
Ecuador,MtCO2e,36.94,37.64,40.13,41.72,44.91,47.39,51.47,53.36,51.68,48.82,48.12,53.25,52.92,54.07,58.10,59.85,62.35,62.02,63.76,67.27,70.84,70.99,70.85,73.93,75.58,74.09,72.80,71.50,72.67,72.53
Singapore,MtCO2e,30.91,34.05,36.68,43.14,46.67,47.98,49.37,49.46,48.80,50.02,54.87,54.79,54.05,50.94,52.41,49.69,50.13,51.38,51.68,52.22,55.95,59.01,58.61,59.50,60.66,62.38,63.78,67.56,66.52,67.23
Serbia,MtCO2e,82.47,72.00,65.77,60.43,56.48,62.97,70.34,75.35,74.96,57.82,60.57,61.75,65.11,68.32,73.55,67.01,69.22,68.14,65.92,63.46,62.99,67.31,62.46,63.19,55.18,61.50,62.96,63.35,61.59,61.93
Ireland,MtCO2e,56.48,57.01,57.18,57.83,59.26,60.07,61.42,62.85,66.14,67.86,71.06,73.29,72.54,72.80,72.03,73.29,73.88,72.14,71.18,65.93,64.57,60.94,62.31,61.36,61.53,63.43,66.00,65.49,63.70,61.48
Portugal,MtCO2e,56.21,57.94,61.98,60.89,62.79,66.56,64.86,67.26,72.40,79.15,78.71,78.05,83.06,78.11,80.10,83.07,77.90,76.53,74.28,73.48,68.07,67.19,65.49,63.80,63.41,67.51,66.45,71.03,66.43,61.38
Bolivia,MtCO2e,31.22,32.36,33.16,31.85,31.08,29.67,29.33,31.34,31.32,31.76,31.74,31.65,34.34,35.10,38.12,40.50,41.48,42.89,44.36,45.17,50.52,50.83,52.62,54.95,56.20,57.54,59.79,60.18,60.25,60.79
Hungary,MtCO2e,89.10,84.06,74.17,74.64,74.36,72.65,74.87,73.18,73.11,73.91,70.92,73.04,71.42,74.20,73.08,72.39,71.66,69.50,68.13,62.29,62.25,61.49,57.61,55.26,55.55,58.48,58.88,60.91,61.01,60.59
Mongolia,MtCO2e,29.98,32.23,30.00,28.79,26.98,27.91,27.11,27.92,28.31,29.00,29.76,27.24,25.40,25.21,25.00,27.75,30.66,33.38,33.62,34.64,31.96,35.61,39.00,41.46,43.92,45.45,47.86,50.75,52.64,56.05
Democratic Republic of the Congo,MtCO2e,38.11,36.73,36.88,38.38,39.86,39.92,35.50,35.49,36.51,34.62,34.01,36.11,41.52,45.00,46.86,46.99,47.97,45.58,47.62,47.67,49.22,48.64,47.37,50.86,52.79,52.54,52.45,55.50,53.90,55.00
Azerbaijan,MtCO2e,75.68,73.24,82.32,61.69,42.37,41.48,35.91,35.41,35.79,36.01,37.74,37.19,37.25,39.94,40.08,42.87,44.72,43.29,47.65,43.13,42.02,44.84,48.05,49.26,50.62,50.52,50.86,50.24,51.69,54.80
Bahrain,MtCO2e,15.73,15.35,17.56,18.56,19.03,19.74,21.00,22.00,23.77,24.37,25.44,26.28,27.49,28.55,28.80,32.09,34.58,35.79,38.30,38.84,40.81,41.51,43.13,45.93,48.03,48.87,49.35,50.24,51.16,54.41
Finland,MtCO2e,69.66,69.55,66.45,67.69,74.33,70.35,76.80,74.88,71.23,70.37,68.86,74.64,77.01,85.14,81.13,68.92,80.32,78.47,70.35,66.68,74.80,66.77,61.11,61.88,57.82,54.35,57.03,54.16,55.49,51.48
Bulgaria,MtCO2e,98.22,81.23,75.41,73.97,70.02,71.24,71.80,68.72,65.14,58.33,57.76,60.14,57.45,62.32,61.07,61.06,61.01,65.18,62.81,55.32,56.96,62.84,57.11,51.96,54.54,57.26,54.19,56.43,53.23,51.28
South Sudan,MtCO2e,29.02,29.89,32.32,34.24,36.25,36.96,40.25,43.31,47.12,49.93,54.12,52.21,56.11,58.80,61.26,64.45,63.76,67.53,68.55,70.72,69.98,66.42,52.16,52.77,54.85,55.74,56.62,54.44,57.32,50.91
